pname,pcode,cityname,citycode,adname,name,address,location,tel,bigType,midType,smallType,timestamp
香港特别行政区,810000,香港特别行政区,1852,元朗区,豪苑A座,龙翔道110号,"114.025511,22.4587",[],商务住宅,住宅区,住宅小区,2024-01-21 14:06:29
香港特别行政区,810000,香港特别行政区,1852,元朗区,豪苑C座,福喜街与福顺街交叉口西260米,"114.025691,22.45879",[],商务住宅,住宅区,住宅小区,2023-12-11 05:30:40
香港特别行政区,810000,香港特别行政区,1852,元朗区,豪苑B座,福喜街与福顺街交叉口西260米,"114.025574,22.458757",[],商务住宅,住宅区,住宅小区,2024-02-13 08:28:48
香港特别行政区,810000,香港特别行政区,1852,元朗区,大井盛屋村,福喜街与福顺街交叉口西360米,"114.024574,22.459193",[],商务住宅,住宅区,住宅区,2024-01-20 17:37:28
香港特别行政区,810000,香港特别行政区,1852,元朗区,大井围,福顺街,"114.025952,22.459849",[],商务住宅,住宅区,住宅小区|地名地址信息,2024-01-23 13:42:41
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园H座,香港元朗,"114.025093,22.459870",[],商务住宅,楼宇,商务写字楼,2023-12-11 05:17:16
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园I座,香港元朗,"114.025021,22.459851",[],商务住宅,楼宇,商务写字楼,2024-02-16 09:30:04
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园J座,香港元朗,"114.024968,22.459834",[],商务住宅,楼宇,商务写字楼,2024-02-16 16:24:13
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园K座,香港元朗,"114.024887,22.459832",[],商务住宅,楼宇,商务写字楼,2024-01-25 06:42:42
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园M座,香港元朗,"114.024744,22.459788",[],商务住宅,楼宇,商务写字楼,2023-12-11 05:35:40
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园F座,香港元朗,"114.025093,22.460062",[],商务住宅,楼宇,商务写字楼,2024-02-06 13:09:48
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园E座,香港元朗,"114.025012,22.460043",[],商务住宅,楼宇,商务写字楼,2024-02-15 15:21:21
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园D座,香港元朗,"114.024905,22.460024",[],商务住宅,楼宇,商务写字楼,2024-02-13 13:39:47
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园C座,福顺街与福喜街交叉口西360米,"114.024834,22.460015",[],商务住宅,楼宇,商务写字楼,2024-01-28 04:36:34
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园,香港元朗Tai Tseng Wai,"114.024835,22.460019",[],商务住宅,住宅区,住宅小区,2024-01-18 07:36:53
香港特别行政区,810000,香港特别行政区,1852,元朗区,景安园A座,香港元朗,"114.024655,22.459953",[],商务住宅,楼宇,商务写字楼,2024-02-12 17:21:43
香港特别行政区,810000,香港特别行政区,1852,元朗区,朗文花园1期,新界元朗大井围133A及134A号,"114.024569,22.460060",[],商务住宅,住宅区,住宅区,2024-01-29 05:34:57
香港特别行政区,810000,香港特别行政区,1852,元朗区,朗文花园1期3座,福顺街33号,"114.024630,22.460114",[],商务住宅,楼宇,商务写字楼,2024-01-23 18:39:26
香港特别行政区,810000,香港特别行政区,1852,元朗区,丽安花园,元朗大井福顺街8号,"114.027547,22.460261",[],商务住宅,住宅区,住宅小区,2024-02-04 20:18:39
香港特别行政区,810000,香港特别行政区,1852,元朗区,朗文花园,福顺街与福喜街交叉口西380米,"114.024726,22.460288",[],商务住宅,住宅区,住宅区,2024-02-15 14:25:15
香港特别行政区,810000,香港特别行政区,1852,元朗区,丽安花园8座,福顺街8号,"114.027680,22.460315",[],商务住宅,楼宇,商务写字楼,2024-02-10 15:20:33
香港特别行政区,810000,香港特别行政区,1852,元朗区,旭和庭园,香港元朗大井围150号,"114.025158,22.460617",[],商务住宅,住宅区,住宅区,2024-01-31 13:40:31
香港特别行政区,810000,香港特别行政区,1852,元朗区,丽安花园17座,福顺街8号,"114.027563,22.460581",[],商务住宅,楼宇,商务写字楼,2024-02-14 12:47:18
香港特别行政区,810000,香港特别行政区,1852,元朗区,维园山庄,福顺街33号,"114.025055,22.460795",[],商务住宅,住宅区,住宅小区,2024-02-06 11:57:48
香港特别行政区,810000,香港特别行政区,1852,元朗区,维园山庄18座,横洲福顺街33号,"114.024833,22.460974",[],商务住宅,楼宇,商务写字楼,2024-01-22 19:16:37
香港特别行政区,810000,香港特别行政区,1852,元朗区,豪苑,盛屋村,"114.022019,22.457967",[],商务住宅,住宅区,住宅小区,2024-01-28 15:44:21
香港特别行政区,810000,香港特别行政区,1852,元朗区,趣怡花园D座,"趣怡花园D座Yuen Long,New Territories","114.028012,22.460914",[],商务住宅,楼宇,商务写字楼,2024-02-17 10:16:12
香港特别行政区,810000,香港特别行政区,1852,元朗区,翠安阁,吴屋村福顺街28号,"114.025347,22.461327",[],商务住宅,住宅区,住宅小区,2024-02-16 16:20:25
香港特别行政区,810000,香港特别行政区,1852,元朗区,翠安居4座,香港新界元朗,"114.025388,22.461511",[],商务住宅,楼宇,商务写字楼,2024-01-31 15:11:46
